obs_id,flare_number,start_mjd,end_mjd,duration_s,,rate_mean,rate_mean_err,,rate_max,rate_max_err,,energy_1e37erg,energy_err,,luminosity_1e34,luminosity_err,,flux_1e_minus12,flux_err,,fluence_ct,fluence_err,,hardness_ratio,hardness_ratio_err
23665,1,59314.35258,59314.37416,1865,0.031 $\pm$ 0.004,0.031,0.0041,0.049 $\pm$ 0.013,0.0489,0.0133,3.989 $\pm$ 0.088,3.989,0.0877,2.139 $\pm$ 0.047,2.1392,0.047,2.673 $\pm$ 0.059,2.6733,0.0589,58 $\pm$ 0.238,58.001,0.2378041,1.148 $\pm$ 0.302,1.148148148,0.302238091
13838,1,56141.01729,56141.05250,3042,0.054 $\pm$ 0.004,0.054,0.0042,0.144 $\pm$ 0.021,0.1439,0.0205,16.896 $\pm$ 0.109,16.8961,0.109,5.554 $\pm$ 0.036,5.5543,0.0358,6.941 $\pm$ 0.046,6.9411,0.0461,164 $\pm$ 0.689,164,0.6888,1.669 $\pm$ 0.192,1.669421488,0.1919105678
20446,1,58685.07776,58685.08549,668,0.033 $\pm$ 0.007,0.033,0.007,0.040 $\pm$ 0.012,0.0402,0.0122,1.542 $\pm$ 0.018,1.5424,0.0184,2.308 $\pm$ 0.028,2.3076,0.0275,2.884 $\pm$ 0.035,2.8838,0.0347,22 $\pm$ 0.154,22.0008,0.1540056,0.833 $\pm$ 0.357,0.8333333333,0.3568120161
13853,1,56122.26092,56122.26872,674,0.025 $\pm$ 0.006,0.025,0.0061,0.028 $\pm$ 0.010,0.0283,0.0096,1.573 $\pm$ 0.025,1.5726,0.0253,2.334 $\pm$ 0.038,2.3341,0.0376,2.917 $\pm$ 0.047,2.9168,0.0472,17 $\pm$ 0.104,16.9991,0.10369451,2.063 $\pm$ 0.628,2.0625,0.6283115395
13854,1,56006.48690,56006.49464,669,0.052 $\pm$ 0.009,0.052,0.0088,0.058 $\pm$ 0.014,0.0582,0.0135,3.489 $\pm$ 0.082,3.4886,0.0822,5.214 $\pm$ 0.123,5.214,0.1228,6.516 $\pm$ 0.154,6.5158,0.1538,35 $\pm$ 0.308,35.0008,0.30800704,1.731 $\pm$ 0.426,1.730769231,0.4263589748
13854,2,56006.52882,56006.53815,806,0.055 $\pm$ 0.008,0.055,0.0082,0.066 $\pm$ 0.014,0.0658,0.0143,4.419 $\pm$ 0.099,4.419,0.0989,5.484 $\pm$ 0.123,5.4842,0.1228,6.853 $\pm$ 0.154,6.8534,0.1538,44 $\pm$ 0.361,43.9985,0.3607877,1.645 $\pm$ 0.375,1.64516129,0.3746704772
13854,3,56006.58561,56006.59681,968,0.052 $\pm$ 0.007,0.052,0.0073,0.070 $\pm$ 0.015,0.0696,0.0147,4.972 $\pm$ 0.119,4.9723,0.1188,5.139 $\pm$ 0.123,5.1393,0.1228,6.422 $\pm$ 0.154,6.4224,0.1538,50 $\pm$ 0.365,49.9988,0.36499124,1.200 $\pm$ 0.257,1.2,0.2569046516
13854,4,56006.68285,56006.68750,402,0.100 $\pm$ 0.016,0.100,0.0157,0.107 $\pm$ 0.018,0.1069,0.0179,4.331 $\pm$ 0.049,4.3314,0.0494,10.772 $\pm$ 0.123,10.7718,0.1228,13.461 $\pm$ 0.155,13.4612,0.1549,40 $\pm$ 0.628,39.9975,0.62796075,1.370 $\pm$ 0.347,1.37037037,0.3468527984
19703,1,57949.96065,57950.01401,4610,0.013 $\pm$ 0.002,0.013,0.0017,0.026 $\pm$ 0.010,0.0261,0.0097,3.357 $\pm$ 0.122,3.3571,0.1219,0.728 $\pm$ 0.026,0.7282,0.0264,0.910 $\pm$ 0.033,0.9101,0.0331,61 $\pm$ 0.104,61.0005,0.10370085,0.968 $\pm$ 0.248,0.9677419355,0.247846622
19703,2,57950.55188,57950.56589,1210,0.033 $\pm$ 0.005,0.033,0.0052,0.049 $\pm$ 0.013,0.0488,0.0133,2.901 $\pm$ 0.032,2.9011,0.032,2.398 $\pm$ 0.026,2.3982,0.0264,2.997 $\pm$ 0.033,2.9969,0.0334,40 $\pm$ 0.208,39.9992,0.20799584,1.500 $\pm$ 0.484,1.5,0.4841229183
13839,1,56132.39352,56132.40343,856,0.048 $\pm$ 0.008,0.048,0.0075,0.057 $\pm$ 0.014,0.0571,0.0135,4.162 $\pm$ 0.022,4.1623,0.0221,4.863 $\pm$ 0.026,4.8632,0.0258,6.077 $\pm$ 0.034,6.0774,0.0337,41 $\pm$ 0.307,40.9981,0.30748575,2.440 $\pm$ 0.579,2.44,0.5794342068
13839,2,56134.00587,56134.04151,3080,0.086 $\pm$ 0.005,0.086,0.0053,0.161 $\pm$ 0.022,0.1609,0.0216,28.705 $\pm$ 0.080,28.7047,0.0795,9.321 $\pm$ 0.026,9.3208,0.0258,11.648 $\pm$ 0.037,11.6479,0.0372,264 $\pm$ 1.399,264.0012,1.39920636,1.942 $\pm$ 0.204,1.941605839,0.2041796668
20041,1,57854.35452,57854.38099,2287,0.101 $\pm$ 0.007,0.101,0.0066,0.171 $\pm$ 0.024,0.1711,0.0244,18.009 $\pm$ 0.127,18.0087,0.1266,7.875 $\pm$ 0.055,7.8752,0.0553,9.841 $\pm$ 0.071,9.8414,0.0709,230 $\pm$ 1.518,230,1.518,1.255 $\pm$ 0.167,1.254901961,0.1665592073
13852,1,56143.32153,56143.33560,1216,0.049 $\pm$ 0.006,0.049,0.0064,0.073 $\pm$ 0.015,0.0726,0.0151,6.053 $\pm$ 0.041,6.0534,0.0411,4.980 $\pm$ 0.034,4.98,0.0338,6.223 $\pm$ 0.043,6.2233,0.0434,60 $\pm$ 0.384,60.0011,0.38400704,1.952 $\pm$ 0.370,1.952380952,0.3704621417
13852,2,56144.33407,56144.35402,1724,0.024 $\pm$ 0.004,0.024,0.0038,0.028 $\pm$ 0.010,0.0278,0.0096,3.506 $\pm$ 0.058,3.5059,0.0583,2.033 $\pm$ 0.034,2.0333,0.0338,2.541 $\pm$ 0.043,2.5409,0.0425,42 $\pm$ 0.160,42.0003,0.15960114,2.154 $\pm$ 0.417,2.153846154,0.4173450705
14468,1,56230.29400,56230.33455,3504,0.024 $\pm$ 0.003,0.024,0.0026,0.047 $\pm$ 0.012,0.0468,0.0122,7.585 $\pm$ 0.097,7.5848,0.0972,2.165 $\pm$ 0.028,2.1649,0.0278,2.705 $\pm$ 0.035,2.7054,0.0349,85 $\pm$ 0.221,85.0002,0.22100052,2.000 $\pm$ 0.277,2,0.2773500981
14468,2,56231.56425,56231.58946,2178,0.030 $\pm$ 0.004,0.030,0.0037,0.055 $\pm$ 0.013,0.0546,0.0131,6.266 $\pm$ 0.061,6.2658,0.0605,2.877 $\pm$ 0.028,2.8767,0.0278,3.595 $\pm$ 0.035,3.5949,0.0351,66 $\pm$ 0.244,65.9992,0.24419704,1.603 $\pm$ 0.268,1.603448276,0.2682797899
