obs_id,flare_number,start_mjd,end_mjd,duration_s,Mean Rate,Max Rate,Energy (1e37erg),Luminosity (1e34),Flux (1e-12),Fluence,Hardness Ratio,Shape
13839,1,56132.39352,56132.40343,856,0.048 $\pm$ 0.008,0.057 $\pm$ 0.014,4.162 $\pm$ 0.022,4.863 $\pm$ 0.026,6.077 $\pm$ 0.034,41 $\pm$ 0.307,2.440 $\pm$ 0.579,1
13839,2,56134.00587,56134.04151,3080,0.086 $\pm$ 0.005,0.161 $\pm$ 0.022,28.705 $\pm$ 0.080,9.321 $\pm$ 0.026,11.648 $\pm$ 0.037,264 $\pm$ 1.399,1.942 $\pm$ 0.204,2
14432,1,56138.56140,56138.61387,4534,0.014 $\pm$ 0.002,0.021 $\pm$ 0.008,4.034 $\pm$ 0.161,0.890 $\pm$ 0.036,1.112 $\pm$ 0.045,61 $\pm$ 0.104,1.640 $\pm$ 0.208,1
14432,2,56139.37835,56139.42095,3681,0.051 $\pm$ 0.004,0.114 $\pm$ 0.019,19.713 $\pm$ 0.131,5.355 $\pm$ 0.036,6.692 $\pm$ 0.046,189 $\pm$ 0.699,1.762 $\pm$ 0.193,2
13838,1,56141.01729,56141.05250,3042,0.054 $\pm$ 0.004,0.144 $\pm$ 0.021,16.896 $\pm$ 0.109,5.554 $\pm$ 0.036,6.941 $\pm$ 0.046,164 $\pm$ 0.689,1.669 $\pm$ 0.192,2
13852,1,56143.32153,56143.33560,1216,0.049 $\pm$ 0.006,0.073 $\pm$ 0.015,6.053 $\pm$ 0.041,4.980 $\pm$ 0.034,6.223 $\pm$ 0.043,60 $\pm$ 0.384,1.952 $\pm$ 0.370,1
13852,2,56144.33407,56144.35402,1724,0.024 $\pm$ 0.004,0.028 $\pm$ 0.010,3.506 $\pm$ 0.058,2.033 $\pm$ 0.034,2.541 $\pm$ 0.043,42 $\pm$ 0.160,2.154 $\pm$ 0.417,1
14439,1,56147.13663,56147.15099,1241,0.027 $\pm$ 0.005,0.035 $\pm$ 0.011,3.071 $\pm$ 0.037,2.475 $\pm$ 0.029,3.093 $\pm$ 0.037,34 $\pm$ 0.160,2.080 $\pm$ 0.506,1
14462,1,56207.17827,56207.18923,947,0.032 $\pm$ 0.006,0.039 $\pm$ 0.011,2.825 $\pm$ 0.031,2.983 $\pm$ 0.032,3.728 $\pm$ 0.041,30 $\pm$ 0.174,1.810 $\pm$ 0.492,1
14462,2,56208.18553,56208.21601,2634,0.026 $\pm$ 0.003,0.054 $\pm$ 0.013,6.037 $\pm$ 0.085,2.292 $\pm$ 0.032,2.865 $\pm$ 0.041,68 $\pm$ 0.211,1.562 $\pm$ 0.234,1
14463,1,56216.23805,56216.24412,525,0.116 $\pm$ 0.015,0.094 $\pm$ 0.017,6.744 $\pm$ 0.041,12.856 $\pm$ 0.078,16.066 $\pm$ 0.101,61 $\pm$ 0.909,2.033 $\pm$ 0.453,1
13851,1,56217.81226,56217.87427,5358,0.076 $\pm$ 0.004,0.221 $\pm$ 0.025,44.509 $\pm$ 0.191,8.307 $\pm$ 0.036,10.381 $\pm$ 0.048,408 $\pm$ 1.550,1.841 $\pm$ 0.152,3
13843,1,56223.37822,56223.47283,8174,0.033 $\pm$ 0.002,0.131 $\pm$ 0.020,25.383 $\pm$ 0.317,3.105 $\pm$ 0.039,3.881 $\pm$ 0.049,269 $\pm$ 0.538,1.672 $\pm$ 0.139,2
15570,1,56225.23011,56225.25830,2436,0.032 $\pm$ 0.004,0.076 $\pm$ 0.016,7.455 $\pm$ 12.728,3.061 $\pm$ 5.226,3.825 $\pm$ 6.531,78 $\pm$ 0.281,1.672 $\pm$ 0.271,2
14468,1,56230.29400,56230.33455,3504,0.024 $\pm$ 0.003,0.047 $\pm$ 0.012,7.585 $\pm$ 0.097,2.165 $\pm$ 0.028,2.705 $\pm$ 0.035,85 $\pm$ 0.221,2.000 $\pm$ 0.277,2
14468,2,56231.56425,56231.58946,2178,0.030 $\pm$ 0.004,0.055 $\pm$ 0.013,6.266 $\pm$ 0.061,2.877 $\pm$ 0.028,3.595 $\pm$ 0.035,66 $\pm$ 0.244,1.603 $\pm$ 0.268,2
15041,1,56500.15073,56500.16278,1042,0.031 $\pm$ 0.006,0.040 $\pm$ 0.013,2.302 $\pm$ 0.052,2.210 $\pm$ 0.050,2.762 $\pm$ 0.063,32 $\pm$ 0.186,1.056 $\pm$ 0.347,1
15041,2,56500.46496,56500.47422,800,0.029 $\pm$ 0.007,0.038 $\pm$ 0.013,1.649 $\pm$ 0.040,2.061 $\pm$ 0.050,2.576 $\pm$ 0.063,23 $\pm$ 0.151,2.000 $\pm$ 0.816,1
15042,1,56516.35777,56516.48754,11212,0.016 $\pm$ 0.001,0.049 $\pm$ 0.014,10.867 $\pm$ 0.478,0.969 $\pm$ 0.043,1.211 $\pm$ 0.053,179 $\pm$ 0.232,0.974 $\pm$ 0.130,1
15043,1,56549.08525,56549.14935,5538,0.501 $\pm$ 0.010,1.901 $\pm$ 0.062,230.797 $\pm$ 0.233,41.674 $\pm$ 0.042,52.079 $\pm$ 0.098,2775 $\pm$ 26.363,1.731 $\pm$ 0.068,3
14944,1,56555.46190,56555.48542,2033,0.018 $\pm$ 0.003,0.035 $\pm$ 0.012,2.276 $\pm$ 0.138,1.120 $\pm$ 0.068,1.399 $\pm$ 0.085,36 $\pm$ 0.118,0.957 $\pm$ 0.285,1
14943,1,56582.66656,56582.67927,1098,0.020 $\pm$ 0.005,0.029 $\pm$ 0.011,1.374 $\pm$ 0.060,1.251 $\pm$ 0.054,1.563 $\pm$ 0.068,22 $\pm$ 0.100,0.786 $\pm$ 0.317,1
