obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct
13854,13854_SGRA_TABLE_RESULTS.txt,4,56006.6828494131,56006.6875037033,402.10560000000004,0.1118,0.0165,0.1076,0.0179,4.8861,9.5433,12.1512,23.7334,15.185,29.6589,44.9592
19703,19703_SGRA_TABLE_RESULTS.txt,1,57949.9606547532,57950.0140103535,4609.9584,0.0137,0.0017,0.0262,0.0097,3.4803,9.3876,0.755,2.0364,0.9434,2.5448,63.0744
19703,19703_SGRA_TABLE_RESULTS.txt,2,57950.5536556274,57950.5658856855,1056.672,0.0353,0.0058,0.0489,0.0133,2.7223,7.0853,2.5763,6.7053,3.2195,8.3794,37.3144
13839,13839_SGRA_TABLE_RESULTS.txt,1,56132.3935211684,56132.4034276333,855.8783999999999,0.0527,0.0078,0.0608,0.0139,4.6435,9.6348,5.4254,11.2572,6.7799,14.0678,45.1008
13839,13839_SGRA_TABLE_RESULTS.txt,2,56134.0058681187,56134.0415119547,3079.6416000000004,0.0941,0.0055,0.1611,0.0216,31.7336,24.4263,10.3043,7.9315,12.877,9.9118,289.7729
20041,20041_SGRA_TABLE_RESULTS.txt,1,57854.3545234889,57854.3809904317,2286.7488000000003,0.1032,0.0067,0.1701,0.0244,18.5027,17.9522,8.0913,7.8505,10.1114,9.8106,236.0
13852,13852_SGRA_TABLE_RESULTS.txt,1,56143.3215321682,56143.3356009205,1215.5616,0.0537,0.0066,0.0727,0.0151,6.6903,11.5857,5.5039,9.5312,6.878,11.9108,65.2697
13852,13852_SGRA_TABLE_RESULTS.txt,2,56144.3340669426,56144.3540238093,1724.2848,0.023,0.0036,0.0279,0.0096,3.2513,8.9937,1.8856,5.2159,2.3564,6.5181,39.6489
14468,14468_SGRA_TABLE_RESULTS.txt,1,56230.2939987989,56230.3345487205,3503.5200000000004,0.0254,0.0027,0.0467,0.0122,8.0062,13.5205,2.2852,3.8591,2.8557,4.8226,88.9228
14468,14468_SGRA_TABLE_RESULTS.txt,2,56231.5642457846,56231.5894560817,2178.144,0.0311,0.0038,0.0544,0.0131,6.4417,11.775,2.9574,5.406,3.6958,6.7557,67.7075
22594,22594_SGRA_TABLE_RESULTS.txt,1,59385.1461599711,59385.1922850757,3985.2,0.076,0.0044,0.2084,0.0268,23.8925,20.4488,5.9953,5.1312,7.4922,6.4123,303.0
14466,14466_SGRA_TABLE_RESULTS.txt,1,56128.5461937825,56128.5603894327,1226.5344,0.0372,0.0055,0.0803,0.0158,4.3484,9.6571,3.5453,7.8735,4.4305,9.8392,45.6328
18055,18055_SGRA_TABLE_RESULTS.txt,1,57431.506776851,57431.5522366264,3927.7439999999992,0.0438,0.0033,0.1351,0.0205,8.3635,15.7288,2.1293,4.0045,2.661,5.0043,172.0
18055,18055_SGRA_TABLE_RESULTS.txt,2,57431.650453706,57431.6753327827,2149.5456,0.0993,0.0064,0.1468,0.0214,14.6291,16.1265,6.8057,7.5023,8.5048,9.3754,213.5139
13845,13845_SGRA_TABLE_RESULTS.txt,1,56067.8692229492,56068.0313904359,14011.2288,0.0171,0.0011,0.1047,0.0179,17.7277,22.6741,1.2653,1.6183,1.5811,2.0223,239.0
13842,13842_SGRA_TABLE_RESULTS.txt,1,56130.1918448833,56130.2294147132,3246.048,0.0392,0.0035,0.061,0.0139,12.5381,16.2521,3.8626,5.0067,4.8269,6.2568,127.1787
13842,13842_SGRA_TABLE_RESULTS.txt,2,56130.913283464,56130.9239888886,924.9119999999999,0.0588,0.0079,0.0766,0.0155,5.7086,10.5593,6.172,11.4165,7.713,14.2669,54.3619
13842,13842_SGRA_TABLE_RESULTS.txt,3,56131.498799817,56131.5874654235,7660.742399999999,0.0223,0.0017,0.0421,0.0117,14.3079,19.066,1.8677,2.4888,2.334,3.1102,170.4742
3392,03392_SGRA_TABLE_RESULTS.txt,1,52420.1758120228,52420.2104408491,2991.9456,0.0236,0.0028,0.0449,0.0117,4.7325,9.7864,1.5817,3.2709,1.9766,4.0875,70.546
3392,03392_SGRA_TABLE_RESULTS.txt,2,52420.568998866,52420.6309489083,5352.48,0.0131,0.0016,0.0325,0.0101,3.7232,9.8393,0.6956,1.8383,0.8693,2.2972,69.8734
3392,03392_SGRA_TABLE_RESULTS.txt,3,52421.2367785838,52421.2489758648,1053.8208,0.0314,0.0055,0.0325,0.0101,2.3612,6.6912,2.2406,6.3495,2.8,7.9347,33.0942
14432,14432_SGRA_TABLE_RESULTS.txt,1,56138.5614005157,56138.6138749833,4533.7536,0.0138,0.0017,0.0207,0.0083,4.0555,11.4772,0.8945,2.5315,1.1179,3.1635,62.5284
14432,14432_SGRA_TABLE_RESULTS.txt,2,56139.3750400662,56139.420952753,3966.8832,0.0524,0.0036,0.1143,0.0185,21.6144,20.7786,5.4487,5.238,6.8091,6.5458,208.0
22592,22592_SGRA_TABLE_RESULTS.txt,1,59357.2033116202,59357.2601579368,4911.4944000000005,0.025,0.0023,0.0854,0.0171,8.0593,13.6362,1.6409,2.7764,2.0506,3.4696,123.0
22595,22595_SGRA_TABLE_RESULTS.txt,1,59386.0150757433,59386.0259079556,935.8847999999999,0.0982,0.0102,0.142,0.0217,6.9512,11.1977,7.4274,11.9648,9.2818,14.952,91.8689
22595,22595_SGRA_TABLE_RESULTS.txt,2,59386.0852738163,59386.1857061669,8677.4112,0.068,0.0028,0.2593,0.0287,42.4079,31.5516,4.8872,3.6361,6.1073,4.5439,590.0
15570,15570_SGRA_TABLE_RESULTS.txt,1,56225.2301107415,56225.2583015752,2435.7024,0.0333,0.0037,0.077,0.0155,7.8038,12.9695,3.2039,5.3247,4.0039,6.6542,81.0
22937,22937_SGRA_TABLE_RESULTS.txt,1,59082.237694658,59082.3062533374,5920.3008,0.0184,0.0018,0.0354,0.0107,6.9596,12.532,1.1755,2.1168,1.469,2.6453,109.0726
16963,16963_SGRA_TABLE_RESULTS.txt,1,57066.2486869099,57066.2592286646,910.8287999999999,0.0413,0.0068,0.0544,0.0142,2.8421,7.1922,3.1203,7.8963,3.8994,9.8677,37.6057
