obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,fluence_err,fluence_ct,hardness_ratio,Shape
3392,03392_SGRA_TABLE_RESULTS.txt,3,52421.2367785838,52421.2489758648,1053.8208,0.0314,0.0055,0.0325,0.0101,2.3612,6.6912,2.2406,6.3495,2.8,7.9347,33.0942,5.7960,31.854,1.7272727272727300,1
14432,14432_SGRA_TABLE_RESULTS.txt,1,56138.5614005157,56138.6138749833,4533.7536,0.0138,0.0017,0.0207,0.0083,4.0555,11.4772,0.8945,2.5315,1.1179,3.1635,62.5284,7.7074,61.6481,1.6122448979591800,1
14432,14432_SGRA_TABLE_RESULTS.txt,2,56139.3750400662,56139.420952753,3966.8832,0.0524,0.0036,0.1143,0.0185,21.6144,20.7786,5.4487,5.238,6.8091,6.5458,208.0,14.2808,209.0,1.7391304347826100,2
22592,22592_SGRA_TABLE_RESULTS.txt,1,59357.2033116202,59357.2601579368,4911.4944000000000,0.025,0.0023,0.0854,0.0171,8.0593,13.6362,1.6409,2.7764,2.0506,3.4696,123.0,11.29643712,125.0,1.2105263157894700,2
22595,22595_SGRA_TABLE_RESULTS.txt,1,59386.0150757433,59386.0259079556,935.8848000000000,0.0982,0.0102,0.142,0.0217,6.9512,11.1977,7.4274,11.9648,9.2818,14.952,91.8689,9.54602496,92.3453,1.2,1
22595,22595_SGRA_TABLE_RESULTS.txt,2,59386.0852738163,59386.1857061669,8677.4112,0.068,0.0028,0.2593,0.0287,42.4079,31.5516,4.8872,3.6361,6.1073,4.5439,590.0,24.2968,587.0,1.2292490118577100,3
15570,15570_SGRA_TABLE_RESULTS.txt,1,56225.2301107415,56225.2583015752,2435.7024,0.0333,0.0037,0.077,0.0155,7.8038,12.9695,3.2039,5.3247,4.0039,6.6542,81.0,9.0121,82.0,1.6885245901639300,2
22937,22937_SGRA_TABLE_RESULTS.txt,1,59082.237694658,59082.3062533374,5920.3008,0.0184,0.0018,0.0354,0.0107,6.9596,12.532,1.1755,2.1168,1.469,2.6453,109.0726,10.6565,106.3312,1.5476190476190500,2
16963,16963_SGRA_TABLE_RESULTS.txt,1,57066.2486869099,57066.2592286646,910.8288000000000,0.0413,0.0068,0.0544,0.0142,2.8421,7.1922,3.1203,7.8963,3.8994,9.8677,37.6057,6.19363584,38.186,2.25,1
13843,13843_SGRA_TABLE_RESULTS.txt,1,56223.3782249419,56223.4728285995,8173.699200000000,0.0345,0.0021,0.1294,0.0197,26.8027,24.4181,3.2791,2.9874,4.0978,3.7333,282.0,17.16476832,281.0,1.628691983122360,3
