obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,fluence_err,hardness_ratio,hardness_ratio_err,Shape
14943,14943_SGRA_TABLE_RESULTS.txt,1,56582.6665606405,56582.6792726505,1098.3168000000000,0.0198,0.0046,0.029,0.011,1.3737,0.0597,1.2508,0.0544,1.563,0.068,21.7104,0.0999,0.7857142857142860,0.3165733072956850,1
14944,14944_SGRA_TABLE_RESULTS.txt,1,56555.4618971529,56555.4854216868,2032.56,0.0176,0.0033,0.0354,0.0122,2.2756,0.1382,1.1196,0.068,1.3991,0.085,35.8671,0.1184,0.9565217391304350,0.28525012491401000,1
15043,15043_SGRA_TABLE_RESULTS.txt,1,56549.0852479914,56549.1493475096,5538.153600000000,0.5011,0.0095,1.9012,0.0622,230.7965,0.2331,41.6739,0.0421,52.0786,0.0979,2775.0,26.3625,1.7312992125984300,0.06822190645111840,3
15042,15042_SGRA_TABLE_RESULTS.txt,1,56516.357766536,56516.4875383058,11212.3008,0.0159,0.0013,0.0486,0.014,10.8672,0.4776,0.9692,0.0426,1.2112,0.0533,178.7952,0.2324,0.9736842105263160,0.12983610290341200,1
15041,15041_SGRA_TABLE_RESULTS.txt,2,56500.464956453,56500.474215574,799.9776000000000,0.029,0.0065,0.0383,0.0127,1.649,0.0401,2.0613,0.0502,2.5759,0.0628,23.2356,0.1510,2.0,0.8164965809277260,1
15041,15041_SGRA_TABLE_RESULTS.txt,1,56500.1507258236,56500.1627820644,1041.6384,0.0308,0.0058,0.0404,0.0127,2.3023,0.0523,2.2103,0.0502,2.7622,0.0628,32.0982,0.1862,1.0555555555555600,0.3471913566528270,1
14468,14468_SGRA_TABLE_RESULTS.txt,2,56231.5642457846,56231.5894560817,2178.144,0.0303,0.0037,0.0546,0.0131,6.2658,0.0605,2.8767,0.0278,3.5949,0.0351,65.9992,0.2442,1.603448275862070,0.26827978991405500,2
14468,14468_SGRA_TABLE_RESULTS.txt,1,56230.2939987989,56230.3345487205,3503.5200000000000,0.0243,0.0026,0.0468,0.0122,7.5848,0.0972,2.1649,0.0278,2.7054,0.0349,85.0002,0.2210,2.0,0.2773500981126150,2
15570,15570_SGRA_TABLE_RESULTS.txt,1,56225.2301107415,56225.2583015752,2435.7024,0.032,0.0036,0.076,0.0155,7.4546,12.7284,3.0606,5.2258,3.8247,6.5305,78.0,0.2808,1.6721311475409800,0.27064445620418800,2
13843,13843_SGRA_TABLE_RESULTS.txt,1,56223.3782249419,56223.4728285995,8173.699200000000,0.0329,0.002,0.1309,0.0197,25.3829,0.3172,3.1054,0.0388,3.8808,0.0489,269.0,0.538,1.6724137931034500,0.138796888449952,2
13851,13851_SGRA_TABLE_RESULTS.txt,2,56217.8122561849,56217.8742720065,5358.182400000000,0.0761,0.0038,0.2205,0.0248,44.5089,0.1909,8.3067,0.0356,10.3806,0.0475,408.0,1.5504,1.8407079646017700,0.1521078124800910,3
13851,13851_SGRA_TABLE_RESULTS.txt,1,56217.0905989911,56217.0948515711,367.4592,0.0408,0.0105,0.0421,0.0117,1.5228,0.0131,4.144,0.0356,5.1787,0.0453,15.0015,0.1575,1.5454545454545500,0.5980182649628280,1
14463,14463_SGRA_TABLE_RESULTS.txt,1,56216.2338847668,56216.2481889518,1235.8656,0.0574,0.0068,0.0941,0.0169,7.3385,0.0964,5.938,0.078,7.4205,0.0982,70.9991,0.4828,2.0232558139534900,0.37716259841482800,1
14462,14462_SGRA_TABLE_RESULTS.txt,2,56208.1855341209,56208.2160148706,2633.5584,0.0258,0.0031,0.0537,0.0131,6.0369,0.0848,2.2923,0.0322,2.8646,0.0405,68.0006,0.2108,1.5616438356164400,0.2340932756647270,1
14462,14462_SGRA_TABLE_RESULTS.txt,1,56207.1782699449,56207.1892292311,946.8576,0.0317,0.0058,0.0389,0.0112,2.8246,0.0305,2.9832,0.0322,3.728,0.0407,29.9992,0.1740,1.8095238095238100,0.4920269169348830,1
14439,14439_SGRA_TABLE_RESULTS.txt,1,56147.1366330265,56147.1509915782,1240.6176,0.0274,0.0047,0.0348,0.0107,3.071,0.0365,2.4754,0.0294,3.0934,0.0371,34.0011,0.1598,2.08,0.506217344625804,1
13852,13852_SGRA_TABLE_RESULTS.txt,2,56144.3340669426,56144.3540238093,1724.2848,0.0244,0.0038,0.0278,0.0096,3.5059,0.0583,2.0333,0.0338,2.5409,0.0425,42.0003,0.1596,2.1538461538461500,0.4173450705408160,1
13852,13852_SGRA_TABLE_RESULTS.txt,1,56143.3215321682,56143.3356009205,1215.5616,0.0494,0.0064,0.0726,0.0151,6.0534,0.0411,4.98,0.0338,6.2233,0.0434,60.0011,0.3840,1.9523809523809500,0.3704621417455340,1
13838,13838_SGRA_TABLE_RESULTS.txt,1,56141.0172883562,56141.0524958884,3041.9712000000000,0.0539,0.0042,0.1439,0.0205,16.8961,0.109,5.5543,0.0358,6.9411,0.0461,164.0,0.6888,1.6694214876033100,0.19191056781816000,2
14432,14432_SGRA_TABLE_RESULTS.txt,2,56139.3783476651,56139.420952753,3681.072,0.0513,0.0037,0.1142,0.0185,19.7131,0.1309,5.3553,0.0356,6.6923,0.0457,189.0,0.6993,1.7615384615384600,0.19344162731185800,2
14432,14432_SGRA_TABLE_RESULTS.txt,1,56138.5614005157,56138.6138749833,4533.7536,0.0135,0.0017,0.0205,0.0083,4.0343,0.1612,0.8898,0.0356,1.112,0.0445,60.9995,0.1037,1.64,0.20807690885823900,1
13839,13839_SGRA_TABLE_RESULTS.txt,2,56134.0058681187,56134.0415119547,3079.6416000000000,0.0857,0.0053,0.1609,0.0216,28.7047,0.0795,9.3208,0.0258,11.6479,0.0372,264.0012,1.3992,1.9416058394160600,0.2041796667505950,2
13839,13839_SGRA_TABLE_RESULTS.txt,1,56132.3935211684,56132.4034276333,855.8784000000000,0.0479,0.0075,0.0571,0.0135,4.1623,0.0221,4.8632,0.0258,6.0774,0.0337,40.9981,0.3075,2.44,0.5794342067914180,1
13842,13842_SGRA_TABLE_RESULTS.txt,3,56131.498799817,56131.5874654235,7660.742400000000,0.0218,0.0017,0.0426,0.0117,13.7684,0.3006,1.7973,0.0392,2.246,0.0492,167.0007,0.2839,1.8596491228070200,0.17634933404609900,2
13842,13842_SGRA_TABLE_RESULTS.txt,2,56130.913283464,56130.9239888886,924.912,0.0551,0.0077,0.0767,0.0155,5.2964,0.0363,5.7264,0.0392,7.1561,0.0503,50.998,0.3926846,1.4736842105263200,0.3097294814104080,2
13842,13842_SGRA_TABLE_RESULTS.txt,1,56130.1918448833,56130.2294147132,3246.048,0.0379,0.0034,0.0613,0.0139,11.9905,0.1274,3.6939,0.0392,4.6161,0.0496,123.0006,0.4182,1.2894736842105300,0.1609243056909760,1
14466,14466_SGRA_TABLE_RESULTS.txt,1,56128.5554096137,56128.5598804975,386.2944,0.0699,0.0135,0.0805,0.0158,2.8617,0.0182,7.4082,0.0472,9.2577,0.0608,27.0007,0.3645,1.2380952380952400,0.36325086810038500,1
14465,14465_SGRA_TABLE_RESULTS.txt,2,56127.1819307434,56127.2080320547,2255.1264,0.0182,0.0028,0.0325,0.0101,3.2855,0.1289,1.4569,0.0571,1.8206,0.0715,40.9995,0.1148,1.4339622641509400,0.2566184319311250,1
14465,14465_SGRA_TABLE_RESULTS.txt,1,56126.9811903736,56127.0330656925,4482.0,0.019,0.0021,0.0398,0.0112,6.9439,0.2561,1.5493,0.0571,1.9361,0.0715,84.9995,0.1785,1.8541666666666700,0.23478937135326800,1
13853,13853_SGRA_TABLE_RESULTS.txt,1,56122.2609225622,56122.2687209948,673.7472,0.0252,0.0061,0.0283,0.0096,1.5726,0.0253,2.3341,0.0376,2.9168,0.0472,16.9991,0.1037,2.0625,0.6283115394650970,1
13845,13845_SGRA_TABLE_RESULTS.txt,1,56067.8692229492,56068.0313904359,14011.2288,0.017,0.0011,0.1085,0.0179,17.4727,0.3794,1.247,0.0271,1.5584,0.0339,238.0,0.2618,1.4417344173441700,0.09767393002069760,1
13849,13849_SGRA_TABLE_RESULTS.txt,4,56060.1421631247,56060.1703578731,2436.048,0.0546,0.0047,0.0768,0.0155,13.6207,0.0926,5.5913,0.038,6.9873,0.0488,133.0012,0.6251,1.8452380952381000,0.25000337434284700,2
13849,13849_SGRA_TABLE_RESULTS.txt,3,56059.3202638283,56059.3328423213,1086.7392,0.0276,0.005,0.0317,0.0101,2.6191,0.0413,2.4101,0.038,3.0118,0.0477,29.9988,0.149994,2.260869565217390,0.5661617819233250,1
13849,13849_SGRA_TABLE_RESULTS.txt,2,56059.0129942184,56059.0437151915,2654.2944,0.0185,0.0026,0.0317,0.0101,3.5367,0.1009,1.3324,0.038,1.6651,0.0476,49.0,0.1274,1.8095238095238100,0.2840718729408960,1
13849,13849_SGRA_TABLE_RESULTS.txt,1,56058.6950728832,56058.7083971364,1151.1936,0.0269,0.0048,0.039,0.0112,2.6827,0.0438,2.3304,0.038,2.9122,0.0477,30.9994,0.1488,1.4411764705882400,0.3216760377060690,1
