obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,Shape,hardness_ratio,hardness_ratio_err,median_rate,median_rate_err,snr
5952,05952_SGRA_TABLE_RESULTS.txt,1,53581.0891398826,53581.155737017,5753.9808,0.0169,0.0017,0.0402,0.0112,5.7715,11.9011,1.0031,2.0683,1.2535,2.5847,96.9998,2,0.94,0.1909764383372990,0.017168211937146100,0.0029610636145335400,4.197068466821990
25297,25297_SGRA_TABLE_RESULTS.txt,1,59658.3374265859,59658.413494944,6572.2752,0.0145,0.0015,0.0397,0.012,5.5519,12.4052,0.8447,1.8875,1.0557,2.3588,94.9996,1,0.9387755102040820,0.1927287916156080,0.012429421126687200,0.0029007565677801700,3.6939976693454500
10556,10556_SGRA_TABLE_RESULTS.txt,2,54969.4084185051,54969.4500645368,3598.2144,0.0242,0.0026,0.0494,0.0122,5.7265,10.9433,1.5915,3.0413,1.9888,3.8006,86.9999,1,1.2307692307692300,0.2653281533854080,0.02059613573019320,0.00517568420138621,1.387330858046430
22595,22595_SGRA_TABLE_RESULTS.txt,1,59386.0150757433,59386.0259079556,935.8848,0.093,0.01,0.1392,0.0217,6.5417,10.9534,6.9898,11.7038,8.735,14.6259,86.9983,2,1.2307692307692300,0.2653281533854080,0.10819545079148600,0.02149934705782190,2.0573004309705200
16217,16217_SGRA_TABLE_RESULTS.txt,1,56899.4898996371,56899.5475196609,4978.368,0.0174,0.0019,0.0388,0.0122,5.5473,11.622,1.1143,2.3345,1.3925,2.9173,86.7345,2,1.1363636363636400,0.2348929132417780,0.01955514458265070,0.002268345782291090,3.4832996822558400
14468,14468_SGRA_TABLE_RESULTS.txt,1,56230.2939987989,56230.3345487205,3503.52,0.0243,0.0026,0.0468,0.0122,7.5848,13.2895,2.1649,3.7932,2.7054,4.7402,85.0002,2,1.9240506329113900,0.2668622522148670,0.022608332989987400,0.003583664289268910,4.270331634860600
14465,14465_SGRA_TABLE_RESULTS.txt,1,56126.9811903736,56127.0330656925,4482.0,0.019,0.0021,0.0398,0.0112,6.9439,13.5994,1.5493,3.0342,1.9361,3.7918,84.9995,1,1.8144329896907200,0.2294457702424520,0.01799160351526850,0.002443412315968820,3.480775255137950
15570,15570_SGRA_TABLE_RESULTS.txt,1,56225.2301107415,56225.2583015752,2435.7024,0.032,0.0036,0.076,0.0155,7.4546,12.7284,3.0606,5.2258,3.8247,6.5305,78.0,2,1.6885245901639300,0.2728008906333780,0.022179783664186100,0.008545796149145540,7.4208517730144700
13847,13847_SGRA_TABLE_RESULTS.txt,1,56048.5152617972,56048.5528192105,3244.9248,0.0237,0.0027,0.0426,0.0117,6.562,12.6688,2.0222,3.9042,2.5271,4.8789,76.9992,2,1.6470588235294100,0.2264784522069700,0.02435378550141120,0.0035429055139663,5.154072384483030
22230,22230_SGRA_TABLE_RESULTS.txt,1,58682.1350683115,58682.1485208444,1162.3392,0.0637,0.0074,0.1147,0.0201,5.689,10.0237,4.8944,8.6237,6.1164,10.7768,74.0026,1,0.85,0.1982738005889840,0.06434351297482700,0.018728658388578200,15.45207948959390
