obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,obs_setup
13845,13845_SGRA_TABLE_RESULTS.txt,1,56067.8692229492,56068.0313904359,14011.2288,0.0168,0.0011,0.0946,0.0179,11.138,1.2051,0.7949,0.086,1.0539,0.114,235.0,TE_008D0
13847,13847_SGRA_TABLE_RESULTS.txt,1,56048.5152617972,56048.5528192105,3244.9248000000000,0.0237,0.0027,0.0439,0.0122,4.2798,0.6788,1.3189,0.2092,1.7486,0.2773,76.9992,TE_008D0
13849,13849_SGRA_TABLE_RESULTS.txt,1,56060.1421631247,56060.1703578731,2436.0480000000000,0.0546,0.0047,0.0709,0.0155,8.8219,0.888,3.6214,0.3645,4.801,0.4833,133.0012,TE_008D0
13851,13851_SGRA_TABLE_RESULTS.txt,1,56217.8122561849,56217.8742720065,5358.182400000000,0.0761,0.0038,0.1824,0.0248,29.0107,1.5588,5.4143,0.2909,7.1779,0.3859,408.0,TE_008D0
13852,13852_SGRA_TABLE_RESULTS.txt,1,56143.3215321682,56143.3356009205,1215.5616,0.051,0.0065,0.0675,0.0151,4.1146,0.6063,3.385,0.4988,4.4876,0.6613,62.0011,TE_008D0
13852,13852_SGRA_TABLE_RESULTS.txt,2,56144.3340669426,56144.3540238093,1724.2848,0.0226,0.0036,0.027,0.0096,2.0714,0.4819,1.2013,0.2795,1.5926,0.3705,39.0003,TE_008D0
13854,13854_SGRA_TABLE_RESULTS.txt,1,56006.4868983093,56006.4946421282,669.0816,0.0523,0.0088,0.054,0.0135,2.2562,0.4584,3.3721,0.6851,4.4705,0.9083,35.0008,TE_008D0
13854,13854_SGRA_TABLE_RESULTS.txt,2,56006.5288187797,56006.5381451058,805.7664,0.0546,0.0082,0.0608,0.0143,2.8592,0.5145,3.5485,0.6386,4.7043,0.8466,43.9985,TE_008D0
13854,13854_SGRA_TABLE_RESULTS.txt,3,56006.5856100532,56006.5968083155,967.5072,0.0517,0.0073,0.0642,0.0147,3.2154,0.5497,3.3233,0.5682,4.4059,0.7533,49.9988,TE_008D0
13854,13854_SGRA_TABLE_RESULTS.txt,4,56006.6828494131,56006.6875037033,402.10560000000000,0.0995,0.0157,0.0946,0.0179,2.8146,0.4876,6.9997,1.2127,9.2797,1.6078,39.9975,TE_008D0
13857,13857_SGRA_TABLE_RESULTS.txt,1,56003.6701941419,56003.6760472825,505.69920000000000,0.0356,0.0084,0.0372,0.0112,1.1204,0.327,2.2155,0.6466,2.9372,0.8573,17.9996,TE_008D0
14392,14392_SGRA_TABLE_RESULTS.txt,1,55966.4300207317,55966.4544349776,2109.3696,0.0213,0.0032,0.0372,0.0112,2.3382,0.5229,1.1085,0.2479,1.4695,0.3287,44.9995,TE_008D0
14392,14392_SGRA_TABLE_RESULTS.txt,2,55966.5986448471,55966.6639426611,5641.6608,0.1308,0.0048,0.2466,0.0289,53.7648,2.1019,9.53,0.3726,12.6342,0.4944,738.0,TE_008D0
14427,14427_SGRA_TABLE_RESULTS.txt,1,56054.1011198334,56054.1589818384,4999.2768,0.0194,0.002,0.0338,0.0107,5.2726,0.7779,1.0547,0.1556,1.3982,0.2063,97.0,TE_008D0
14427,14427_SGRA_TABLE_RESULTS.txt,2,56054.472124744,56054.4975012336,2192.4864,0.0187,0.0029,0.0338,0.0107,2.1938,0.4986,1.0006,0.2274,1.3265,0.3015,40.9992,TE_008D0
14432,14432_SGRA_TABLE_RESULTS.txt,1,56138.5614005157,56138.6138749833,4533.7536,0.0135,0.0017,0.0203,0.0083,2.5658,0.6101,0.5659,0.1346,0.7503,0.1784,60.9995,TE_008D0
14432,14432_SGRA_TABLE_RESULTS.txt,2,56139.3750400662,56139.420952753,3966.8832,0.0497,0.0035,0.1013,0.0185,13.2932,1.0837,3.3511,0.2732,4.4426,0.3622,197.0,TE_008D0
14439,14439_SGRA_TABLE_RESULTS.txt,1,56147.1355061155,56147.1509915782,1337.904,0.0269,0.0045,0.0338,0.0107,2.1086,0.4623,1.576,0.3455,2.0894,0.4581,35.9989,TE_008D0
14462,14462_SGRA_TABLE_RESULTS.txt,1,56207.1782699449,56207.1892292311,946.8576,0.0306,0.0057,0.0372,0.0112,1.7751,0.4147,1.8747,0.438,2.4853,0.5807,28.9992,TE_008D0
