obs_id,obs_date,telescope,instrument,exposure_ks,quiescent_rate,quiescent_rate_err
25299,2022-03-23T07:27:45,CHANDRA,ACIS,23.096354,4.291000,0.431000
23738,2021-07-27T23:54:13,CHANDRA,ACIS,21.702381,5.162000,0.505000
20344,2018-04-20T03:22:12,CHANDRA,ACIS,32.072239,5.244000,0.404000
2951,2002-02-19T14:23:59,CHANDRA,ACIS,12.536887,7.614000,0.948000
9171,2008-05-10T03:24:39,CHANDRA,ACIS,19.210668,4.851000,0.414000
16217,2014-08-30T04:53:06,CHANDRA,ACIS,38.065290,4.746000,0.503000
16210,2014-06-03T03:07:31,CHANDRA,ACIS,18.769240,5.298000,0.610000
22288,2019-08-15T23:29:20,CHANDRA,ACIS,26.667437,4.880000,0.428000
25298,2022-03-22T06:21:01,CHANDRA,ACIS,25.097244,4.867000,0.440000
23739,2021-07-29T23:45:10,CHANDRA,ACIS,21.702878,5.588000,0.561000
20345,2018-04-22T03:35:58,CHANDRA,ACIS,31.474867,4.293000,0.369000
14945,2013-08-31T10:15:29,CHANDRA,ACIS,20.067056,5.960000,0.668000
14942,2013-04-14T15:46:48,CHANDRA,ACIS,20.094774,,
23737,2021-06-26T01:45:25,CHANDRA,ACIS,22.703938,4.808000,0.460000
15045,2013-10-28T14:26:09,CHANDRA,ACIS,50.065464,5.443000,0.518000
5953,2005-07-30T19:44:52,CHANDRA,ACIS,45.959530,4.534000,0.376000
15042,2013-08-11T23:03:07,CHANDRA,ACIS,49.420558,4.417000,0.503000
5954,2005-08-01T20:22:14,CHANDRA,ACIS,18.062816,4.179000,0.479000
2943,2002-05-22T23:27:19,CHANDRA,ACIS,38.183819,5.149000,0.419000
14394,2012-02-10T03:12:35,CHANDRA,ACIS,18.065401,6.919000,0.619000
14393,2012-02-11T10:09:28,CHANDRA,ACIS,41.549364,7.774000,0.433000
14703,2013-06-04T08:53:28,CHANDRA,ACIS,18.568403,5.063000,0.786000
20750,2019-08-13T23:23:09,CHANDRA,ACIS,26.767053,5.273000,0.444000
1561,2000-10-26T19:03:10,CHANDRA,ACIS,36.257427,5.346000,0.585000
1561,2001-07-14T01:51:10,CHANDRA,ACIS,5.230977,4.418000,0.566000
18731,2016-07-12T18:31:40,CHANDRA,ACIS,86.467041,5.511000,0.279000
3663,2002-05-24T11:57:57,CHANDRA,ACIS,30.974637,5.564000,0.471000
14702,2013-05-12T10:45:41,CHANDRA,ACIS,15.071624,4.106000,0.997000
22604,2020-03-26T04:44:00,CHANDRA,ACIS,33.073386,4.630000,0.374000
14392,2012-02-09T06:13:13,CHANDRA,ACIS,59.253508,6.923000,0.522000
15043,2013-09-14T00:05:43,CHANDRA,ACIS,50.064571,6.782000,0.515000
15044,2013-10-04T17:22:43,CHANDRA,ACIS,47.064119,5.015000,0.419000
5952,2005-07-29T19:57:37,CHANDRA,ACIS,29.564562,5.654000,0.494000
3665,2002-06-03T01:32:47,CHANDRA,ACIS,5.613129,4.954000,0.232000
6113,2005-02-27T06:23:31,CHANDRA,ACIS,4.922441,4.706000,0.974000
20751,2019-08-19T22:51:15,CHANDRA,ACIS,26.766511,5.057000,0.558000
28229,2024-04-04T07:21:02,CHANDRA,ACIS,25.096207,4.907000,0.442000
14427,2012-05-06T20:08:29,CHANDRA,ACIS,80.070171,5.692000,0.459000
13857,2012-03-17T08:58:52,CHANDRA,ACIS,39.558729,6.791000,0.527000
6639,2006-04-11T05:36:43,CHANDRA,ACIS,4.551725,4.647000,1.007000
13850,2012-02-06T00:33:17,CHANDRA,ACIS,60.066663,6.143000,0.320000
3549,2003-06-19T18:37:22,CHANDRA,ACIS,25.118570,5.743000,0.476000
23666,2021-04-11T06:24:17,CHANDRA,ACIS,25.071954,5.291000,0.465000
23668,2021-04-16T08:30:16,CHANDRA,ACIS,25.071430,5.750000,0.479000
13851,2012-10-16T18:46:10,CHANDRA,ACIS,107.054730,5.760000,0.305000
13856,2012-03-15T08:46:12,CHANDRA,ACIS,40.067675,5.740000,0.379000
23295,2020-07-03T17:56:27,CHANDRA,ACIS,16.957989,4.507000,0.435000
23667,2021-04-14T02:53:07,CHANDRA,ACIS,25.956888,5.940000,0.478000
