obs_id,obs_date,exposure_ks,num_flares
22593,2021-05-25T03:23:35,22.704664,0
18055,2016-02-13T08:54:55,25.071808,2
13845,2012-05-19T10:51:01,135.319179,1
13842,2012-07-21T12:00:56,191.747321,3
3392,2002-05-25T15:23:50,24.755309,3
14432,2012-07-30T13:03:31,74.265313,2
16965,2015-08-17T10:40:19,25.067749,0
28232,2024-04-09T07:32:09,25.097102,0
22592,2021-05-23T01:55:02,21.525021,1
6646,2006-10-29T03:23:11,5.166574,0
14460,2012-07-09T22:42:02,24.06259,0
7555,2007-03-25T22:57:14,5.154917,0
6641,2006-06-01T16:15:54,5.132558,0
22595,2021-06-20T23:51:43,20.104724,3
15570,2012-10-25T03:27:07,68.707021,1
22937,2020-08-20T23:30:23,25.801237,1
16964,2015-10-21T06:00:45,24.946393,0
16963,2015-02-13T00:37:37,25.071793,1
13843,2012-10-22T15:57:29,120.667602,1
22707,2020-07-02T11:43:11,26.026,0
3393,2002-05-28T05:42:39,106.56253,3
13844,2012-07-10T23:19:53,20.064007,0
16211,2014-03-14T10:17:59,46.074961,0
16216,2014-08-02T03:37:51,47.066154,0
21456,2019-04-01T04:25:01,33.072373,1
9170,2008-05-06T03:06:45,27.14866,0
16218,2014-10-20T08:18:22,40.066239,1
14943,2013-10-17T15:37:18,20.068034,0
25297,2022-03-20T05:05:20,25.916995,1
29496,2024-09-06T19:59:19,27.2921,0
14944,2013-09-20T07:02:53,20.068598,1
25299,2022-03-23T07:27:45,23.096354,0
23738,2021-07-27T23:54:13,21.702381,0
20344,2018-04-20T03:22:12,32.072239,0
2951,2002-02-19T14:23:59,12.536887,0
9171,2008-05-10T03:24:39,19.210668,0
16217,2014-08-30T04:53:06,38.06529,1
16210,2014-06-03T03:07:31,18.76924,0
22288,2019-08-15T23:29:20,26.667437,0
25298,2022-03-22T06:21:01,25.097244,0
23739,2021-07-29T23:45:10,21.702878,1
20345,2018-04-22T03:35:58,31.474867,0
14945,2013-08-31T10:15:29,20.067056,0
14942,2013-04-14T15:46:48,20.094774,0
23737,2021-06-26T01:45:25,22.703938,0
15045,2013-10-28T14:26:09,50.065464,2
5953,2005-07-30T19:44:52,45.95953,1
15042,2013-08-11T23:03:07,49.420558,2
5954,2005-08-01T20:22:14,18.062816,0
2943,2002-05-22T23:27:19,38.183819,0
14394,2012-02-10T03:12:35,18.065401,0
14393,2012-02-11T10:09:28,41.549364,0
14703,2013-06-04T08:53:28,18.568403,0
20750,2019-08-13T23:23:09,26.767053,0
1561,2000-10-26T19:03:10,36.257427,2
1561,2001-07-14T01:51:10,5.230977,2
18731,2016-07-12T18:31:40,86.467041,1
3663,2002-05-24T11:57:57,30.974637,1
14702,2013-05-12T10:45:41,15.071624,0
22604,2020-03-26T04:44:00,33.073386,0
14392,2012-02-09T06:13:13,59.253508,2
15043,2013-09-14T00:05:43,50.064571,1
15044,2013-10-04T17:22:43,47.064119,0
5952,2005-07-29T19:57:37,29.564562,1
3665,2002-06-03T01:32:47,5.613129,0
6113,2005-02-27T06:23:31,4.922441,0
20751,2019-08-19T22:51:15,26.766511,1
28229,2024-04-04T07:21:02,25.096207,0
14427,2012-05-06T20:08:29,80.070171,2
13857,2012-03-17T08:58:52,39.558729,1
6639,2006-04-11T05:36:43,4.551725,0
13850,2012-02-06T00:33:17,60.066663,0
3549,2003-06-19T18:37:22,25.11857,0
23666,2021-04-11T06:24:17,25.071954,1
23668,2021-04-16T08:30:16,25.07143,0
13851,2012-10-16T18:46:10,107.05473,1
13856,2012-03-15T08:46:12,40.067675,0
23295,2020-07-03T17:56:27,16.957989,0
23667,2021-04-14T02:53:07,25.956888,0
